,n,train_pearson,val_pearson,train_spearman,val_spearman
resnet_neighbourhood_purity_40,603,0.9621088831981707,0.8841876989262494,0.9790670636553835,0.9534456541363956
resnet_neighbourhood_purity_45,603,0.9616343471836295,0.8835149097576859,0.9788912094045668,0.9531560102358225
resnet_neighbourhood_purity_60,603,0.9603955491896783,0.8817783095337857,0.9782579863249451,0.9526395278723006
resnet_neighbourhood_purity_80,603,0.9588615624208529,0.8796334671634124,0.9777828842943771,0.9522848618715989
cifar_densenet_knn_accuracy_15,603,0.9762521888859016,0.9350983651919212,0.9818503502736496,0.9811449921437195
cifar_densenet_knn_accuracy_20,603,0.9767259525330673,0.9356313687509918,0.9823258109683906,0.9809598859985006
cifar_densenet_knn_accuracy_25,603,0.9772914602928523,0.9364971618761091,0.9831356752918105,0.9809802547107866
cifar_densenet_knn_accuracy_30,603,0.9774865941491053,0.9367317811566389,0.9837537110648928,0.9809639498992765
cifar_densenet_knn_accuracy_35,603,0.9778418918187891,0.9371848389074401,0.9834932959176581,0.9808121574315903
cifar_densenet_knn_accuracy_40,603,0.9782924122276926,0.9378968610541095,0.9844172435569566,0.9806831855785897
cifar_densenet_knn_accuracy_45,603,0.9784062591412753,0.9380668689470663,0.9838641628224446,0.9807123432404
cifar_densenet_knn_accuracy_60,603,0.9792184888206454,0.9393438327653822,0.9843780479157163,0.9804636917788092
cifar_densenet_knn_accuracy_80,603,0.9795818791339543,0.9397347959384466,0.9846289573900007,0.9803159860989703
cifar_densenet_neighbourhood_purity_15,603,0.9469559972113241,0.8948122466317086,0.9678130829296868,0.9797899341883093
cifar_densenet_neighbourhood_purity_20,603,0.9455901893043511,0.893274858682713,0.967239708558697,0.9797574231142226
cifar_densenet_neighbourhood_purity_25,603,0.9444202105362385,0.8919982893747298,0.9667365282150836,0.9795217178270949
cifar_densenet_neighbourhood_purity_30,603,0.9434130053705603,0.8909059906473621,0.966339008354784,0.9794788623203443
cifar_densenet_neighbourhood_purity_35,603,0.9424811653088166,0.8899004214388508,0.9661668482665874,0.9794286179331195
cifar_densenet_neighbourhood_purity_40,603,0.9416450679693443,0.8890006300684085,0.9658801610810925,0.9794463512462578
cifar_densenet_neighbourhood_purity_45,603,0.9408492729066551,0.888147963209636,0.9655358409046992,0.9794899456410556
cifar_densenet_neighbourhood_purity_60,603,0.9387418658766723,0.8858939860777403,0.9646735626947186,0.9791980848623236
cifar_densenet_neighbourhood_purity_80,603,0.9362897449561267,0.8832387814419457,0.9634994752262874,0.9787288909522102
cifar_resnet_knn_accuracy_15,603,0.9848800114326256,0.927408709029774,0.9891472524573767,0.9647365028285018
cifar_resnet_knn_accuracy_20,603,0.9853966460010986,0.9285157890561065,0.989601305170383,0.9654787427563379
cifar_resnet_knn_accuracy_25,603,0.9856392280551177,0.9289447283424115,0.9900021575486952,0.9658101596817104
cifar_resnet_knn_accuracy_30,603,0.9861628288366107,0.9299858563914835,0.9900061992534762,0.9657073781725248
cifar_resnet_knn_accuracy_35,603,0.9864074308304452,0.9304850487491726,0.9901092884509005,0.965520489977286
cifar_resnet_knn_accuracy_40,603,0.9867062226430758,0.9312040209842476,0.9900934097505709,0.9658711179681424
cifar_resnet_knn_accuracy_45,603,0.986749942594474,0.931269576124788,0.9901997873497298,0.9660712814769605
cifar_resnet_knn_accuracy_60,603,0.9870155514205992,0.9317286783082732,0.99062280990186,0.9667045470818049
cifar_resnet_knn_accuracy_80,603,0.9874101635037277,0.9325096960799876,0.9908307992653171,0.966863383756929
cifar_resnet_neighbourhood_purity_15,603,0.9651009851158697,0.8885209832563635,0.9806497519127342,0.9550645566520987
cifar_resnet_neighbourhood_purity_20,603,0.9644360102113568,0.8875541276512059,0.9803911427203565,0.95490347917678
cifar_resnet_neighbourhood_purity_25,603,0.9637580982133398,0.8865561478668227,0.9798554522504317,0.9542672970380212
cifar_resnet_neighbourhood_purity_30,603,0.9631543652532455,0.8856685702789,0.9795074381658321,0.9539488365248912
cifar_resnet_neighbourhood_purity_35,603,0.9626166874545226,0.884905291207883,0.9792089292694878,0.9535786538866587
cifar_resnet_neighbourhood_purity_40,603,0.9621088831981707,0.8841876989262494,0.9790670636553835,0.9534456541363956
cifar_resnet_neighbourhood_purity_45,603,0.9616343471836295,0.8835149097576859,0.9788912094045668,0.9531560102358225
cifar_resnet_neighbourhood_purity_60,603,0.9603955491896783,0.8817783095337857,0.9782579863249451,0.9526395278723006
cifar_resnet_neighbourhood_purity_80,603,0.9588615624208529,0.8796334671634124,0.9777828842943771,0.9522848618715989
full_intra_class_mean_distance,2412,0.13366502339288694,0.5719173621867591,0.3665493950252411,0.663499102189682
full_inter_class_mean_distance,2412,0.22319561068570298,0.6402247248064258,0.5462425980434364,0.7673518620648028
full_intra_inter_distance_ratio,2412,-0.597811641003594,-0.6133874536342052,-0.7698795372734835,-0.7220752318276727
full_centroid_mean_separation,2412,0.3088802421422262,0.6918399608907537,0.6088283547372234,0.8002546524878682
full_centroid_min_separation,2412,0.4236478458208134,0.7632404520306701,0.7808221586159496,0.9133150862915174
cifar_intra_class_mean_distance,1206,-0.5419405310617866,-0.43607120912345976,-0.5848565121173797,-0.6294950301607279
cifar_inter_class_mean_distance,1206,-0.49154000513367346,-0.38490047102715164,-0.5577397126758461,-0.6040385538919532
cifar_intra_inter_distance_ratio,1206,-0.5827931477996651,-0.5396683623800443,-0.6320996132899707,-0.6516521042311394
cifar_centroid_mean_separation,1206,-0.34649669885393186,-0.24120117799419377,-0.44776574042522965,-0.4889706977162006
cifar_centroid_min_separation,1206,0.4517060158075728,0.4356785981618937,0.4189443965757315,0.37770450939110367
mnist_intra_class_mean_distance,1206,0.3916302663096112,0.43747919601312035,-0.11738113174025809,0.2996410104026004
mnist_inter_class_mean_distance,1206,0.4190338430961436,0.44850753301831914,0.6019479246596027,0.8190933282823386
mnist_intra_inter_distance_ratio,1206,-0.4729115596117031,-0.455296543337377,-0.8313742639792693,-0.9663615321982835
mnist_centroid_mean_separation,1206,0.43876057259403684,0.45510264227216923,0.7727537541634915,0.9263856321165885
mnist_centroid_min_separation,1206,0.4562088074579044,0.4572836801865267,0.7889638811410064,0.9414474558426031
densenet_intra_class_mean_distance,1206,-0.024359972707632523,0.4437935923244916,-0.009439104909594927,0.39779675652460045
densenet_inter_class_mean_distance,1206,0.08758636431106738,0.5563524435316722,0.37176462449212266,0.6814291455863297
densenet_intra_inter_distance_ratio,1206,-0.6039274914769666,-0.5939102871778014,-0.7835859602984065,-0.6815600933760078
densenet_centroid_mean_separation,1206,0.24947595116138163,0.6915453067105682,0.5564055039462846,0.7986006120481826
densenet_centroid_min_separation,1206,0.4183931488569183,0.7898468287798924,0.7175475174645831,0.9000373161608273
resnet_intra_class_mean_distance,1206,0.27156499369918236,0.6970562909954312,0.39244055388029253,0.5768758566254142
resnet_inter_class_mean_distance,1206,0.3459413599238271,0.755872978867271,0.7162899528739238,0.8064823139122461
resnet_intra_inter_distance_ratio,1206,-0.7233554632754223,-0.746180140983433,-0.8793582981705518,-0.8151812878897398
resnet_centroid_mean_separation,1206,0.4012546404579637,0.7919417846060306,0.7418476325355069,0.8231887317300749
resnet_centroid_min_separation,1206,0.48347173285361883,0.8306602603325027,0.9070205883139555,0.949735278147352
cifar_densenet_intra_class_mean_distance,603,-0.6054993684390996,-0.5185692378129272,-0.5612914574620393,-0.6525679896315729
cifar_densenet_inter_class_mean_distance,603,-0.583563304408541,-0.49186957768140943,-0.5161836297374649,-0.6083809180326105
cifar_densenet_intra_inter_distance_ratio,603,-0.586670684228939,-0.5635810834818513,-0.7305641753188452,-0.8022185938789103
cifar_densenet_centroid_mean_separation,603,-0.4850328645368265,-0.38172464454842986,-0.3797697292359427,-0.467104450395868
cifar_densenet_centroid_min_separation,603,0.388181000280341,0.39768093256604764,0.3401265490486576,0.27712676534406566
cifar_resnet_intra_class_mean_distance,603,-0.4657686938516864,-0.3315003230772012,-0.5225111694991624,-0.48109289793538923
cifar_resnet_inter_class_mean_distance,603,-0.3952260084996817,-0.2630038899297905,-0.4975550822905376,-0.45408127420733274
cifar_resnet_intra_inter_distance_ratio,603,-0.6986286809968427,-0.6159643337634229,-0.7551484317227449,-0.7220568958465486
cifar_resnet_centroid_mean_separation,603,-0.2655978582579759,-0.1352109790947685,-0.3917202293580392,-0.3465804827609366
cifar_resnet_centroid_min_separation,603,0.5700844502058648,0.5300924637442797,0.6295075343693007,0.6542936117651599
mnist_densenet_intra_class_mean_distance,603,0.4274900562825783,0.4816928675185508,-0.9444454513465019,-0.9119878291877251
mnist_densenet_inter_class_mean_distance,603,0.8799812863147956,0.8990242935044264,0.20041007441574127,0.2305014302278828
mnist_densenet_intra_inter_distance_ratio,603,-0.55997272674731,-0.5001276387350398,-0.9794325908415314,-0.9451746822792533
mnist_densenet_centroid_mean_separation,603,0.9439153800776591,0.9183360894642701,0.963567696096054,0.9307092118965081
mnist_densenet_centroid_min_separation,603,0.7756647801628627,0.723195015778578,0.9753694627783236,0.9519208609057401
mnist_resnet_intra_class_mean_distance,603,0.8660036840027169,0.8906729626299961,-0.9367765198740631,-0.9039843654215364
mnist_resnet_inter_class_mean_distance,603,0.9944412526795648,0.9896526474102799,0.9568051790420915,0.9059387373802119
mnist_resnet_intra_inter_distance_ratio,603,-0.6104011595015117,-0.5689745223180348,-0.9801031800370085,-0.9382473414579293
mnist_resnet_centroid_mean_separation,603,0.8860365745200564,0.8610795211633219,0.979942680136139,0.9321285862732196
mnist_resnet_centroid_min_separation,603,0.717234052485832,0.6804456839846779,0.9742525059582913,0.943581194454269
